cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,immigrants_refugees,middle_eastern_and_north_africa,homeless_individuals_and_famili,farmworkers,veterans,latinos,asian_americans_pacific_islande,african_americans,native_americans_tribal_communi,children_ages_0_5,lesbian_gay_bisexual_transgende,limited_english_proficient_indi,people_with_disabilities,seniorsolder_adults,low_broadband_subscription_rate,htc_breakdown_data_confidence,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone
KCS,Charitable Ventures,booths,Tabling flyers and Q&A,3/5/2020,,,,,Fullerton,"400 s brookhurst rd, fullerton, ca 92833",,,,,Mobile clinic at the Fullerton Armory Homeless Shelter,,,40,,,,,,30,high,80,high,20,,,,,10,,,,,,5,,5,,high,,,,,,,,,,,,,,,,,,,,4,,,,,,,high,,,,,,,,,,
KCS,Charitable Ventures,booths,Tabling flyers and Q&A,2/6/2020,,,,,Fullerton,"400 s. brookhurst, fullerton ca 92833",,,,,Mobile Healthcare at the shelter,KCS mobile healthcare customers at the shelter,,,,,,,,50,high,100,exact,30,,50,,20,30,,6,,,,20,,5,,high,,,,,,,,,,,,,,,,,,,,30,,,,,,,high,,,,,,,,,,
KCS,Charitable Ventures,booths,Tabling flyers and Q&A,2/13/2020,,,,,Fullerton,"400 s. brookhurst, fullerton ca 92833",,,,,Mobile Healthcare at the shelter,KCS mobile healthcare customers at the shelter,,50,,,,,,50,high,100,exact,30,,50,,10,30,,10,,,,20,,10,,high,,,,,,,,,,,,,,,,,,,,30,,,,,,,high,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,nudgealert,Mass texting,6/18/2020,,,,,,orange,We used the Community Motivator tool to text previous clients to participate in the Cessus,,,,,,,,,Texting,,,,991,high,80,medium,,,,,,792,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,792,,,,,,,medium,,,,,,,,,,
Access California Services,Charitable Ventures,booths,Friday Prayer,2/21/2020,2/21/2020,,,,Fullerton,"515 w valencia dr suite h, fullerton, ca 92832",Audience consisted of the HTC MENA/Muslim populations ranging in socio-economic backgrounds.  Also high percentage of South Asian population,,,,Islamic Center of fullerton ,,,,,,,,,90,high,90,high,20,40,,,,5,,5,,,,,,,,high,50,,,,,,20,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
CAP OC ,Charitable Ventures,booths,,2/28/2020,,,,,Fullerton,"800 n state college blvd, fullerton, ca 92831",,,,,,,,,,,,,,48,high,100,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Access California Services,Charitable Ventures,booths,Friday Prayer,3/6/2020,3/6/2020,,,,Garden Grove,"1 al-rahman plaza, garden grove, ca 92844",Audience consisted of the HTC MENA/Muslim populations ranging in socio-economic backgrounds.  Also high percentage of South Asian population,,,,Al-Rahman Masjid ,,,,,,,,,700,high,80,high,,400,,,,50,,,,,,,,100,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
KCS,Charitable Ventures,booths,,1/8/2020,,,,30,Garden Grove,10931 acacia pkwy. garden grove ca 92840,Tabled flyers and fielded questions during seniors weekly craft class,,,,,,,40,,,,,,30,high,85,high,30,,,,,,30,,,,,30,,30,,exact,,,,,,,,,,,,,,30,,,,,,,,,,,,,exact,,,,,,,,,,
Latino Health Access,Charitable Ventures,phone_banking,,5/15/2020,,,,,,orange,"Phone calls to LHA participants (LHA database from past 2 years. Demograpic is representative of HTC populations: immigrant, extremely low-income, seniors from thruout OC.",,,,,,,,,,,,,58,exact,100,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Human Relations,Charitable Ventures,booths,,1/30/2020,,,,,Garden Grove,"12381 dale st., garden grove, ca 92841",Set up a census info booth at the resource fair,,,,,Audience consisted of school parents. High percentage of Latino and South Asian population,,120,flyers,,,,,100,high,80,high,70,4,,,,60,30,3,,40,,50,,6,,high,,,,,,,,,,,,,,,,,,,,50,,,,,,,medium,YES,NO,NO,NO,NO,,,,,
WAVE,Charitable Ventures,social_media,Facebook post,3/26/2020,,,,,,orange,Multiple FB posts from WAVE and Unidos,,,,,,,,,,,,,1500,medium,70,medium,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,
OC Human Relations,Charitable Ventures,booths,6th grade parent night,2/5/2020,2/5/2020,,,,Garden Grove,"12381 dale st., garden grove, ca 92841",,,,,,,,,,,,,,60,high,100,high,55,,,,,54,4,2,,40,,50,,6,,medium,,,,,,,,,,,,,,,,,,,,54,,,,,,,very_high,YES,NO,NO,NO,NO,,,,,
CAP OC ,Charitable Ventures,booths,,1/22/2020,,,,,Irvine,"102 social ecology i, irvine, ca 92617",,,,,,,,,,,,,,50,exact,100,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Facebook ,8/1/2020,8/21/2020,8/21/2020,,,,orange,Social Media Post,,,,,,,,,,,,,140,very_high,90,very_high,20,2,3,,,80,5,,,30,,50,,15,,low,,,,,,,,,,,,,,,,,,,,100,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,booths,Tainan First Alumuni Chinese New Year Gathering,1/20/2020,1/20/2020,,,50,Irvine,"1842 reynolds ave, irvine, ca 92614",,,,,,,,,,,,,,50,high,100,exact,,,,,,,50,,,,,,,,,exact,,,,,,50,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Orange County United Way,Charitable Ventures,booths,,1/11/2020,,,,30,Laguna Niguel,"29702 kensington dr. laguna niguel, ca 92677",Gathering Service,,Person,30,Gathering,Families,,30,Census 2020-What You Need To Know-Spanish,,,,,30,high,100,high,,,,,,30,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,30,,,,,,,high,YES,NO,NO,NO,NO,,,,,
The Cambodian Family,Charitable Ventures,media_other,Khmer TV Census Interview,7/29/2020,,,,,,orange,,,,,,,,,,,,,,2300,high,90,very_high,2070,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Orange County United Way,Charitable Ventures,booths,,1/22/2020,,,,50,Santa Ana,"1314 n broadway, santa ana, ca 92706",Bible Meeting,,Person,50,Meeting,Seniors,,50,Census 2020-What You Need To Know-Spanish,,,,,50,high,100,high,,,,,,,,,,,,,50,,,high,,,,,,,,,,,,,,,,,,,,50,,,,,,,high,YES,NO,NO,NO,NO,,,,,
Community Health Initiative of Orange County ,Charitable Ventures,booths,Resource fair,3/7/2020,,,,,Santa Ana,1450 e. 17th st. santa ana ca 92705,Resource fair for Legacy Charter School. 80% of their students are in free or reduced lunch. Which we can consider to be HTC population. ,,,,,,,54,flyer distribution,,,,,54,medium,80,medium,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,booths,,10/2/2020,,,,,Santa Ana,"1610 e 1st st, santa ana ca, 92701",,,,,,,,,,,,,,50,high,100,exact,,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,booths,,8/21/2020,,,,,Santa Ana,"404 n. grand ave, santa ana, ca 92701",,,,,,,,,,,,,,30,very_high,80,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Access California Services,Charitable Ventures,booths,Friday Prayer,2/28/2020,2/28/2020,,,,Westminster,"14522 goldenwest st, westminster,ca 92683",Audience consisted of the HTC MENA/Muslim populations ranging in socio-economic backgrounds.  Also high percentage of South Asian population,,,,Alnoor foundation ,,,,,,,,,400,high,80,high,,300,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/26/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Access California Services,Charitable Ventures,booths,Family resource fair ,2/28/2020,2/28/2020,,,,Westminster,"7200 plaza st, westminster, ca 92683",Audience consisted of the Lationo populatons. Also south Asian population.,,,,Family Resource Fair ,,,,,,,,,70,high,70,high,,,,5,,50,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Human Relations,Charitable  Ventures,canvassing,Door hungers,7/30/2020,,,,,Anaheim,"1300 n fashion ln, anaheim 92806",,,,,,,,,,,,,,125,high,95,high,110,,8,,,80,10,5,,40,,60,6,12,30,high,,,,,,,,,,,,,,,,,,,,125,,,,,,,high,YES,NO,NO,NO,NO,,,,,
OC Human Relations,Charitable Ventures,canvassing,,3/3/2020,,,,,Anaheim,"2100 w alameda ave, anaheim 92801","Canvass on W Alameda St and surrounding areas: 2100 W Brownwood Ave, 2100 W Catalina Ave, 100-200-300 N Brookhurst St. Anaheim, CA 92801",,,,,,,290,flyers,,,,,260,high,98,very_high,220,2,,,,200,40,4,,160,,180,2,12,60,medium,,,,,,,,,,,,,,,,,,,,200,,,,,,,very_high,yes,no,no,no,no,2,,,,
OC Human Relations,Charitable Ventures,canvassing,Door hungers and flyers in Apartment Complexes and neighborhood areas,6/27/2020,,,,,Anaheim,"2130 crescent ave., anaheim 92801",,,,,,,,,,,,,,236,exact,90,high,160,23,,,,118,23,11,,120,,150,,,80,medium,,,,,,,,,,,,,,,,,,,,116,,,,,,,very_high,YES,NO,NO,NO,NO,4,,,,
OC Human Relations,Charitable Ventures,canvassing,,3/5/2020,,,,,Anaheim,"2300 w greenacre ave, anaheim 92801","Canvass on 2300 W Greenacre Ave and surrounding areas: 2300 Gramercy Ave, 600 N Ventura St, 600 N Alamo St. Anaheim, CA 92801",,,,,,,480,flyers,,,,,420,High,100,high,370,6,,,,360,20,4,,200,,300,6,22,60,medium,,,,,,,,,,,,,,,,,,,,360,,,,,,,very_high,yes,no,no,no,no,1,,,,
OC Human Relations,Charitable Ventures,canvassing,,3/10/2020,,,,,Anaheim,"2375 w crescent ave., anaheim 92801","Canvass on 2375 W Crescent Ave and sourranding areas including La Granada Apartments, Orleans Apartment Homes, Green Meadow Apartments, and Moraga St.",260,,,,,,400,informational flyers ,,,,,320,high,80,high,192,14,,,,240,40,10,,128,,33,6,32,32,high,,,,,,,,,,,,,,,,,,,,240,,,,,40,,high,YES,NO,NO,NO,NO,4,,,,
OC Human Relations,Charitable Ventures,canvassing,Door hungers and flyers in Apartment Complexes and neighborhood areas,6/28/2020,,,,,Anaheim,"300 n bayport cir, anaheim 92801",,,,,,,,,,,,,,460,exact,90,high,350,46,,,,300,46,23,,200,,320,,,120,medium,,,,,,,,,,,,,,,,,,,,230,,,,,,,very_high,YES,NO,NO,NO,NO,4,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,8/2/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/20/2020,,,,,,orange,,,,,,,,,,,,,,110,exact,100,high,,,,,,,,,,110,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAVE,Charitable Ventures,social_media,,4/15/2020,4/20/2020,,,,,orange,,,,,,,,,,,,,,2128,very_high,80,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/6/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OC Human Relations,Charitable Ventures,canvassing,,2/28/2020,,,,,Fullerton,"1201 gilbert st., fullerton 92833",Door to door visits to HTC neighborhoods including Gilbert Terrace Apartments,,,,,,,,,,,,,120,high,100,,108,,,,,100,12,2,,80,,80,2,12,36,high,,,,,,,,,,,,,,,,,,,,100,,,,,,,high,yes,no,no,no,no,,,,,
OC Human Relations,Charitable Ventures,canvassing,,2/27/2020,,,,,Fullerton,"1300 peckham st, fullerton 92833",Door to door visits to HTC neighborhoods,,,,,,,,,,,,,240,high,100,,216,,,,,180,24,4,,120,,144,2,20,48,high,,,,,,,,,,,,,,,,,,,,200,,,,,,,high,yes,no,no,no,no,,,,,
Charitable Ventures of OC,Kennedy Commission/ SAELI,social_media,,8/1/2020,,,,,,orange,,,,,,,,,,,,,,304,high,80,medium,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Human Relations,Charitable Ventures,canvassing,,2/26/2020,,,,,Fullerton,"2300 w roberta ave, fullerton 92833",Door to door visits to HTC neighborhoods,,,,,,,,,,,,,160,high,95,,80,6,,,,120,24,2,,80,,100,,8,32,high,,,,,,,,,,,,,,,,,,,,140,,,,,,,high,yes,no,no,no,no,,,,,
OC Human Relations,Charitable Ventures,canvassing,,3/2/2020,,,,,Santa Ana,"1100 s mantle ln, 1700 normandy pl, santa ana 92705",,,,,,,,220,flyers,,,,,200,High,95,very_high,100,,,,,170,10,2,,100,,100,2,8,40,medium,,,,,,,,,,,,,,,,,,,,170,,,,,,,very_high,yes,no,no,no,no,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Facebook,7/14/2020,7/27/2020,7/31/2020,,,,orange,Social Media Post,,,,,,,,,,,,,144,very_high,90,very_high,20,2,3,,,80,5,,,30,,50,,15,,low,,,,,,,,,,,,,,,,,,,,144,,,,,,,very_high,,,,,,,,,,
VietRISE,Charitable Ventures,social_media,Social media posting (Facebook) of census information and programs it funds,3/10/2020,3/10/2020,,,,,orange,,,,,,,,,,,,,,226,medium,90,medium,,,,,,27,199,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,8/9/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,exact,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
CAP OC,Charitable Ventures,flyers,,5/18/2020,,,,,,orange,,,,,,,,,,,,,,76,exact,100,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charitable Ventures of OC,Kennedy Commission/ SAELI,social_media,,7/25/2020,,,,,,orange,,,,,,,,,,,,,,806,high,80,medium,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Human Relations,Charitable Ventures,canvassing,,2/24/2020,,,,,Santa Ana,"1200 e. madison st, santa ana 92707",Door to door visit to HTC neighborhoods,,,,,,,,,,,,,120,high,100,medium,100,,,,,90,12,1,,40,,33,,20,30,high,,,,,,,,,,,,,,,,,,,,100,,,,,2,,high,yes,no,no,no,no,,,,,
Charitable Ventures of OC,Kennedy Commission/ SAELI,phone_banking,,7/25/2020,,,,,,orange,,,,,,,,,,,,,,2140,exact,100,very_high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Human Relations,Charitable Ventures,canvassing,,3/6/2020,,,,,Santa Ana,"1600 evergreen st, santa ana 92707","Canvass on 1600 Evergreen St and surrounding areas: 1700, 1800 Evergreen St., Santa Ana, CA 92707",,,,,,,180,flers,,,,,160,high,100,very_high,140,,,,,128,8,2,,80,,102,2,16,56,medium,,,,,,,,,,,,,,,,,,,,128,,,,,,,very_high,yes,no,no,no,no,,,,,
The Cambodian Family,Charitable Ventures,canvassing,,10/2/2020,,,,,Santa Ana,"1610 e 1st st, santa ana ca, 92701",,,,,,,,,,,,,,40,high,100,exact,,,,,,,40,,,,,,,,,exact,,,,,,,,,,,,,40,,,,,,,,,,,,,,exact,,,,,,,,,,
Charitable Ventures of OC,Kennedy Commission/ SAELI,flyers,,7/25/2020,,,,,,orange,,,,,,,,,,,,,,250,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Human Relations,Charitable  Ventures,canvassing,Door hungers,7/29/2020,,,,,Santa Ana,"1800 cedar st, santa ana 92707",,,,,,,,,,,,,,125,high,95,high,100,,10,,,90,10,5,,50,,60,6,12,40,high,,,,,,,,,,,,,,,,,,,,125,,,,,,,high,YES,NO,NO,NO,NO,2,,,,
OC Human Relations,Charitable Ventures,canvassing,,2/25/2020,,,,,Santa Ana,"800 s lyon st., santa ana 92707",Door to door visits to HTC neighborhoods including Village Meadows Apartments,,,,,,,,,,,,,260,high,95,,208,,,,,220,10,1,,100,,100,2,20,20,high,,,,,,,,,,,,,,,,,,,,230,,,,,,,high,yes,no,no,no,no,,,,,
The Cambodian Family,Charitable Ventures,canvassing,,3/3/2020,,,,,Santa Ana,"810 s minnie st # 1, santa ana 92701",,,,,,,,,,,,,,156,medium,99,high,100,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,50,,,,,,,,,,,,,,medium,,,,,,,,,,
OC Human Relations,Charitable Ventures,canvassing,,2/20/2020,,,,,Santa Ana,"e. minnie st (blocks 1000,1100), santa ana 92701",Door to door visits to HTC residents,,,,,,,,,,,,,260,high,100,very_high,208,,,,,238,30,2,,100,,156,,6,,high,,,,,,,,,,,,,,,,,,,,238,,,,,,,high,yes,no,no,no,no,,,,,
Community Health Initiative of Orange County,Charitable Ventures,nudgealert,Mass texting,7/20/2020,,,,,,orange,We used the Community Motivator tool to text previous clients to participate in the Cessus,,,,,,,,,,,,,555,high,80,medium,,,,,,444,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,444,,,,,,,medium,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Instagram,8/1/2020,8/21/2020,8/21/2020,,,,orange,Social Media Post,,,,,,,,,,,,,230,very_high,90,very_high,35,3,3,,,75,,,,40,,35,,10,,low,,,,,,,,,,,,,,,,,,,,200,,,,,,,very_high,,,,,,,,,,
OC Human Relations,Charitable Ventures,canvassing,,2/19/2020,,,,,Santa Ana,"e. minnie st (blocks 800, 900), santa ana 92701",Door to door visits to HTC residents,,,,,,,,,,,,,260,high,100,very_high,208,,,,,238,30,2,,100,,156,1,6,,high,,,,,,,,,,,,,,,,,,,,238,,,,,,,high,yes,no,no,no,no,,,,,
OC Human Relations,Charitable Ventures,canvassing,,2/21/2020,,,,,Santa Ana,"east side of standard ave  (blocks 800, 900, 1000, 1100), santa ana 92701",Door to door visits to HTC residents,,,,,,,,,,,,,240,high,100,very_high,192,,,,,228,26,1,,85,,144,1,4,,high,,,,,,,,,,,,,,,,,,,,228,,,,,,,high,yes,no,no,no,no,,,,,
Latino Health Access,Central Valley Opportunity Center,social_media,,9/3/2020,,,,,,orange,Network ,,,,,,,,,,,,,2800590,exact,100,very_high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Human Relations,Charitable Ventures,canvassing,,2/23/2020,,,,,Santa Ana,"evergreen st (blocks 1600, 1700, and 1800, santa ana 92707",Door to door visits to HTC residents,,,,,,,,,,,,,200,high,100,very_high,160,,,,,190,16,1,,80,,120,,4,,high,,,,,,,,,,,,,,,,,,,,190,,,,,,,medium,yes,no,no,no,no,,,,,
OC Human Relations,Charitable Ventures,canvassing,Door hungers and flyers in Casa Cortez Apartments and neighborhood areas,6/26/2020,,,,,Tustin,"1412 nisson rd, tustin 92780",,,,,,,,,,,,,,640,exact,90,high,360,46,,,,240,46,30,,300,,300,20,40,160,medium,,,,,,,,,,,,,,,,,,,,300,,,,,,,very_high,YES,NO,NO,NO,NO,4,,,,
Jamboree Housing Corporation,Charitable Ventures,collateral,,4/15/2020,,,,,Anaheim,"1270 east lincoln ave, anaheim 92805",Shared census promotional materials  at Rockwood Apartments,,,,,,,,,,,,,70,very_high,100,very_high,,,,,,28,4,7,2,,,,15,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,collateral,,4/15/2020,,,,,Anaheim,"1270 east lincoln ave, anaheim 92805",Food distribution delivered in Census bags,,,,,,,,,,,,,36,very_high,100,very_high,,,,,,10,,10,,,,,5,,,high,,,,,,,,,,,,,,,,,,,,10,,,,,,,medium,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,9/4/2020,,,,,Anaheim,"2600 e miraloma way, anaheim 92806",,,,,,,,,,,,,,95,exact,100,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,8/6/2020,,,,,Anaheim,"631 s brookhurst st #107, anaheim 92804",,,,,,,,,,,,,,101,exact,100,high,,,,,,,,,,101,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,8/13/2020,,,,,Fountain Valley,9120 heil ave fountain valley 92708,,,,,,,,,,,,,,56,exact,100,high,,,,,,,,,,56,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,5/21/2020,,,,,Fullerton,"321 e chapman ave, fullerton 92832",,,,,,,,,,,,,,109,exact,100,high,,,,,,,,,,109,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,8/6/2020,,,,,Fullerton,"321 e chapman ave, fullerton 92832",,,,,,,,,,,,,,232,exact,100,high,,,,,,,,,,232,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,7/8/2020,,,,,Fullerton,"505 e commonwealth ave, fullerton 92832",,,,,,,,,,,,,,128,exact,100,high,,,,,,,,,,128,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Facebook ,3/10/2020,,8/31/2020,,,,orange,Social Media Post,,,,,,,,,,,,,142,very_high,90,very_high,20,2,3,,,80,5,,,30,,50,,15,,low,,,,,,,,,,,,,,,,,,,,142,,,,,,,very_high,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/19/2020,,,,,Garden Grove,"11402 magnolia st, garden grove 92841",,,,,,,,,,,,,,73,exact,100,high,,,,,,,,,,73,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Instagram,8/21/2020,9/30/2020,,,,,orange,Social Media Post,,,,,,,,,,,,,450,very_high,90,very_high,35,3,3,,,75,,,,40,,35,,10,,low,,,,,,,,,,,,,,,,,,,,300,,,,,,,very_high,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Twitter,8/1/2020,8/21/2020,8/21/2020,,,,orange,Social Media Post,,,,,,,,,,,,,250,very_high,90,very_high,10,5,3,,10,79,5,,,35,,35,,3,,low,,,,,,,,,,,,,,,,,,,,250,,,,,,,very_high,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,9/16/2020,,,,,Garden Grove,"11402 magnolia st, garden grove 92841",,,,,,,,,,,,,,50,exact,100,high,,,,,,,,,,50,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,4/7/2020,,,,,Garden Grove,"11870 monarch st, garden grove 92841",,,,,,,,,,,,,,800,exact,100,high,,,,,,,,,,800,,,,,,medium,,,,,,,,,,,,,,,,,,,,200,,,,,,,medium,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,5/28/2020,,,,,,orange,,,,,,,,,,,,,,430,very_high,100,medium,300,,,,,200,100,,,,,200,,,,medium,,,,,,100,,,,,,,,,,,,,,300,,,,,,,medium,,,,,,,,,,
WAVE,Charitable Ventures,nudgealert,email blast to people in low response cities,4/29/2020,,,,,,orange,,,,,,,,,,,,,,295,exact,70,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/19/2020,,,,,Garden Grove,"12661 sunswept ave, garden grove 92843",,,,,,,,,,,,,,40,exact,100,high,,,,,,,,,,40,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,9/16/2020,,,,,Garden Grove,"12661 sunswept ave, garden grove 92843",,,,,,,,,,,,,,32,exact,100,high,,,,,,,,,,32,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAVE,Charitable Ventures,social_media,,5/29/2020,6/4/2020,,,,,orange,,,,,,,,,,Facebook,,,,7574,exact,90,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,7574,,,,,,,exact,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,collateral,,3/23/2020,,,,,Irvine,"14851 jeffrey rd, irvine 92618",Passed out tote bags with info on the census on them,,,,,,,,,,,,,150,very_high,100,very_high,,,,,,,,,,,,,,150,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Human Relations,Charitable Ventures,social_media,,6/22/2020,,,,,,orange,,,,,,,,,,Facebook,,,,246,high,80,high,74,24,,,5,74,37,12,,24,24,5,5,10,5,medium,,,,,,,,,,,,,,,,,,,,111,,,,,,,high,YES,NO,NO,NO,NO,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,8/6/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/25/2020,,,,,Irvine,"17815 sky park circle, bldg 10, ste h irvine 92614",,,,,,,,,,,,,,56,exact,100,high,,,,,,,,,,56,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/24/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
